Date,Domain,IsGreen,EstimatedBytes,EstimatedCO2Grams
27-2-2024,www.apple.com,false,2149828,0.86
27-2-2024,www.microsoft.com,true,864038,0.299
27-2-2024,www.google.com,true,366175,0.127
27-2-2024,www.ibm.com,true,3734040,1.292
27-2-2024,www.oracle.com,true,900927,0.312
27-2-2024,www.netflix.com,true,2321715,0.804
27-2-2024,www.hulu.com,true,3931739,1.361
27-2-2024,www.disneyplus.com,true,1102211,0.382
27-2-2024,www.hbo.com,true,2393106,0.828
27-2-2024,www.sling.com,false,365302,0.146
27-2-2024,www.ups.com,true,63,0
27-2-2024,www.fedex.com,true,0,0
27-2-2024,www.usps.com,false,1459941,0.584
27-2-2024,www.dhl.com,true,0,0
27-2-2024,www.lasership.com,true,16462054,5.698
